mpg,cylinders,acc,year
18,8,12,70
15,8,11.5,70
18,8,11,70
16,8,12,70
17,8,10.5,70
15,8,10,70
14,8,9,70
14,8,8.5,70
14,8,10,70
15,8,8.5,70
15,8,10,70
14,8,8,70
15,8,9.5,70
14,8,10,70
24,4,15,70
22,6,15.5,70
18,6,15.5,70
21,6,16,70
27,4,14.5,70
26,4,20.5,70
25,4,17.5,70
24,4,14.5,70
25,4,17.5,70
26,4,12.5,70
21,6,15,70
10,8,14,70
10,8,15,70
11,8,13.5,70
9,8,18.5,70
27,4,14.5,71
28,4,15.5,71
25,4,14,71
19,6,13,71
16,6,15.5,71
17,6,15.5,71
19,6,15.5,71
18,6,15.5,71
14,8,12,71
14,8,11.5,71
14,8,13.5,71
14,8,13,71
12,8,11.5,71
13,8,12,71
13,8,12,71
18,6,13.5,71
22,4,19,71
19,6,15,71
18,6,14.5,71
23,4,14,71
28,4,14,71
30,4,19.5,71
30,4,14.5,71
31,4,19,71
35,4,18,71
27,4,19,71
26,4,20.5,71
24,4,15.5,72
25,4,17,72
23,4,23.5,72
20,4,19.5,72
21,4,16.5,72
13,8,12,72
14,8,12,72
15,8,13.5,72
14,8,13,72
17,8,11.5,72
11,8,11,72
13,8,13.5,72
12,8,13.5,72
13,8,12.5,72
19,3,13.5,72
15,8,12.5,72
13,8,14,72
13,8,16,72
14,8,14,72
18,4,14.5,72
22,4,18,72
21,4,19.5,72
26,4,18,72
22,4,16,72
28,4,17,72
23,4,14.5,72
28,4,15,72
27,4,16.5,72
13,8,13,73
14,8,11.5,73
13,8,13,73
14,8,14.5,73
15,8,12.5,73
12,8,11.5,73
13,8,12,73
13,8,13,73
14,8,14.5,73
13,8,11,73
12,8,11,73
13,8,11,73
18,6,16.5,73
16,6,18,73
18,6,16,73
18,6,16.5,73
23,6,16,73
26,4,21,73
11,8,14,73
12,8,12.5,73
13,8,13,73
12,8,12.5,73
18,6,15,73
20,4,19,73
21,4,19.5,73
22,4,16.5,73
18,3,13.5,73
19,4,18.5,73
21,6,14,73
26,4,15.5,73
15,8,13,73
16,8,9.5,73
29,4,19.5,73
24,4,15.5,73
20,4,14,73
19,4,15.5,73
15,8,11,73
24,4,14,73
20,6,13.5,73
11,8,11,73
20,6,16.5,74
19,6,16,74
15,6,17,74
31,4,19,74
26,4,16.5,74
32,4,21,74
25,4,17,74
16,6,17,74
16,6,18,74
18,6,16.5,74
16,8,14,74
13,8,14.5,74
14,8,13.5,74
14,8,16,74
14,8,15.5,74
29,4,16.5,74
26,4,15.5,74
26,4,14.5,74
31,4,16.5,74
32,4,19,74
28,4,14.5,74
24,4,15.5,74
26,4,14,74
24,4,15,74
26,4,15.5,74
31,4,16,74
19,6,16,75
18,6,16,75
15,6,21,75
15,6,19.5,75
16,8,11.5,75
15,8,14,75
16,8,14.5,75
14,8,13.5,75
17,6,21,75
16,6,18.5,75
15,6,19,75
18,6,19,75
21,6,15,75
20,8,13.5,75
13,8,12,75
29,4,16,75
23,4,17,75
20,6,16,75
23,4,18.5,75
24,4,13.5,75
25,4,16.5,75
24,4,17,75
18,6,14.5,75
29,4,14,75
19,6,17,75
23,4,15,75
23,4,17,75
22,4,14.5,75
25,4,13.5,75
33,4,17.5,75
28,4,15.5,76
25,4,16.9,76
25,4,14.9,76
26,4,17.7,76
27,4,15.3,76
17.5,8,13,76
16,8,13,76
15.5,8,13.9,76
14.5,8,12.8,76
22,6,15.4,76
22,6,14.5,76
24,6,17.6,76
22.5,6,17.6,76
29,4,22.2,76
24.5,4,22.1,76
29,4,14.2,76
33,4,17.4,76
20,6,17.7,76
18,6,21,76
18.5,6,16.2,76
17.5,6,17.8,76
29.5,4,12.2,76
32,4,17,76
28,4,16.4,76
26.5,4,13.6,76
20,4,15.7,76
13,8,13.2,76
19,4,21.9,76
19,6,15.5,76
16.5,6,16.7,76
16.5,8,12.1,76
13,8,12,76
13,8,15,76
13,8,14,76
31.5,4,18.5,77
30,4,14.8,77
36,4,18.6,77
25.5,4,15.5,77
33.5,4,16.8,77
17.5,8,12.5,77
17,8,19,77
15.5,8,13.7,77
15,8,14.9,77
17.5,6,16.4,77
20.5,6,16.9,77
19,6,17.7,77
18.5,6,19,77
16,8,11.1,77
15.5,8,11.4,77
15.5,8,12.2,77
16,8,14.5,77
29,4,14.5,77
24.5,4,16,77
26,4,18.2,77
